,volume,Price
29/12/2014,361.18,6633.5
30/12/2014,348.4,6547
31/12/2014,129.45,6566.1
02/01/2015,378.93,6547.8
05/01/2015,750.52,6417.2
06/01/2015,793.26,6366.5
07/01/2015,709.5,6419.8
08/01/2015,910.04,6570
09/01/2015,761.33,6501.1
12/01/2015,620.94,6501.4
13/01/2015,694.41,6542.2
14/01/2015,1000,6388.5
15/01/2015,1010,6498.8
16/01/2015,830.66,6550.3
19/01/2015,554.55,6585.5
20/01/2015,697.94,6620.1
21/01/2015,873.75,6728
22/01/2015,954.66,6796.6
23/01/2015,863.8,6832.8
26/01/2015,630.84,6852.4
27/01/2015,735.99,6811.6
28/01/2015,803.72,6825.9
29/01/2015,726.31,6810.6
30/01/2015,823.48,6749.4
02/02/2015,780.98,6782.6
03/02/2015,882.17,6871.8
04/02/2015,835.23,6860
05/02/2015,753.81,6865.9
06/02/2015,668.59,6853.4
09/02/2015,639.89,6837.1
10/02/2015,795.91,6829.1
11/02/2015,641.79,6818.2
12/02/2015,834.91,6828.1
13/02/2015,757.58,6873.5
16/02/2015,428.64,6857.1
17/02/2015,631.89,6898.1
18/02/2015,698.36,6898.1
19/02/2015,661.61,6888.9
20/02/2015,787.66,6915.2
23/02/2015,700.28,6912.2
24/02/2015,857.36,6949.6
25/02/2015,718.03,6935.4
26/02/2015,806.28,6949.7
27/02/2015,908.71,6946.7
02/03/2015,802.78,6940.6
03/03/2015,808.29,6889.1
04/03/2015,764.09,6919.2
05/03/2015,823.1,6961.1
06/03/2015,771.79,6911.8
09/03/2015,691.32,6876.5
10/03/2015,914.71,6702.8
11/03/2015,769.93,6721.5
12/03/2015,872.09,6761.1
13/03/2015,732.04,6740.6
16/03/2015,706.94,6804.1
17/03/2015,780.79,6837.6
18/03/2015,796.53,6945.2
19/03/2015,834.2,6962.3
20/03/2015,1460,7022.5
23/03/2015,694.42,7037.7
24/03/2015,722.19,7019.7
25/03/2015,665.75,6991
26/03/2015,965.48,6895.3
27/03/2015,759.28,6855
30/03/2015,659.07,6891.4
31/03/2015,928.18,6773
01/04/2015,809.44,6809.5
02/04/2015,593.71,6833.5
07/04/2015,725.88,6961.8
08/04/2015,892.29,6937.4
09/04/2015,720.21,7015.4
10/04/2015,826.73,7089.8
13/04/2015,610.97,7064.3
14/04/2015,690.65,7075.3
15/04/2015,744.94,7096.8
16/04/2015,773.86,7060.4
17/04/2015,800.54,6994.6
20/04/2015,601.95,7052.1
21/04/2015,676.07,7062.9
22/04/2015,809.07,7028.2
23/04/2015,736.4,7053.7
24/04/2015,821.32,7070.7
27/04/2015,700.79,7104
28/04/2015,821,7030.5
29/04/2015,791.05,6946.3
30/04/2015,934.3,6960.6
01/05/2015,863.4,6985.9
05/05/2015,1050,6927.6
06/05/2015,910.98,6933.7
07/05/2015,973.56,6886.9
08/05/2015,1430,7046.8
11/05/2015,816.71,7029.9
12/05/2015,865.97,6933.8
13/05/2015,820.35,6949.6
14/05/2015,622.17,6973
15/05/2015,723.61,6960.5
18/05/2015,633.21,6968.9
19/05/2015,801.43,6995.1
20/05/2015,850.67,7007.3
21/05/2015,582.84,7013.5
22/05/2015,641.04,7031.7
26/05/2015,692.15,6949
27/05/2015,668.8,7033.3
28/05/2015,625.45,7040.9
29/05/2015,1210,6984.4
01/06/2015,715.73,6953.6
02/06/2015,891.35,6928.3
