,AAL.L_price,AAL.L_volume,ABF.L_price,ABF.L_volume,BA.L_price,BA.L_volume,BATS.L_price,BATS.L_volume,BRBY.L_price,BRBY.L_volume,CPG.L_price,CPG.L_volume,CCL.L_price,CCL.L_volume,CNA.L_price,CNA.L_volume,DGE.L_price,DGE.L_volume,EXPN.L_price,EXPN.L_volume,GKN.L_price,GKN.L_volume,GSK.L_price,GSK.L_volume,IAG.L_price,IAG.L_volume,ITV.L_price,ITV.L_volume,LAND.L_price,LAND.L_volume,LLOY.L_price,LLOY.L_volume,EMG.L_price,EMG.L_volume,MKS.L_price,MKS.L_volume,RB.L_price,RB.L_volume,RBS.L_price,RBS.L_volume,RSA.L_price,RSA.L_volume,SMIN.L_price,SMIN.L_volume,RIO.L_price,RIO.L_volume,RR.L_price,RR.L_volume,SHP.L_price,SHP.L_volume,TATE.L_price,TATE.L_volume,TSCO.L_price,TSCO.L_volume,VOD.L_price,VOD.L_volume,WPP.L_price,WPP.L_volume,WTB.L_price,WTB.L_volume
2014-12-01,1304.0,7282895,3205.0,517603,475.2,7958107,3726.5,3178784,1633.0,812473.0,1141.92,2948438.0,2692.0,1328055.0,281.6,12304017,1962.0,5609311,1005.0,1198152.0,343.5,3215592,1490.5,8007981,461.0,12519553.0,212.4,12351027.0,1270.4,1235662,79.68,93136429,140.3,6309296,489.7,6068327,5121.5801,1008739,385.6,8421381,453.4,3397231,1115.0,2485557,2956.0,4889630,854.5,5481044,4533.0,1304331,607.0,1831019,183.8,17641645,227.2,101333619,1336.0,2251926.0,4597.0,552456
2014-12-02,1306.5,5566187,3193.0,550215,479.4,4659603,3753.0,2806212,1626.0,1250460.0,1148.16,3540302.0,2729.0,739250.0,285.1,11566024,1975.5,3900549,1049.0,3637626.0,345.4,3133112,1502.0,6282360,460.3,8012631.0,214.6,8654542.0,1275.73,1382010,80.41,81481844,145.6,6310148,491.8,3451481,5131.3599,925665,394.8,9419156,457.6,2136846,1144.0,1256114,2977.0,4779686,857.5,3520523,4534.0,1057842,597.0,3733923,187.3,24994637,229.95,49144103,1361.0,4659850.0,4630.0,457127
2014-12-03,1320.0,3678641,3182.0,1075850,478.9,4498689,3743.0,2527805,1633.0,891039.0,1140.88,2738786.0,2718.0,994522.0,284.4,8984401,1945.0,2910608,1058.0,2060273.0,346.4,7149925,1489.5,13346007,466.1,5947479.0,214.0,9861731.0,1265.0699,1460192,79.65,162758147,144.8,4629815,490.9,3811186,5033.6201,2459312,395.0,12336960,457.9,1998705,1135.0,1209509,3011.0,3937428,867.5,5023469,4563.0,1262972,593.5,2068261,188.5,20761294,227.35,65501325,1353.0,2972056.0,4579.0,453894
2014-12-04,1283.5,7087279,3200.0,564121,480.7,7200081,3730.0,2799296,1665.0,1696053.0,1131.52,4052103.0,2730.0,582572.0,283.8,12839332,1936.0,2525199,1061.0,1960363.0,345.5,3889313,1461.0,14672562,466.5,9051730.0,214.5,18873225.0,1258.67,1656717,79.57,112257815,146.3,5350029,491.5,3441362,5067.8301,2283749,392.8,7822615,451.9,2691484,1145.0,2266470,2933.5,7663941,880.5,9654828,4590.0,1311412,593.0,1873770,186.05,22390605,223.65,79277252,1356.0,4303693.0,4595.0,366858
2014-12-05,1268.0,4843099,3284.0,2140281,481.7,11824296,3744.5,2382341,1678.0,1101388.0,1148.16,3601134.0,2805.0,1257832.0,286.0,8096408,1971.0,3308960,1055.0,1856287.0,356.7,3653760,1470.5,6558927,486.7,8727208.0,213.2,9490539.0,1264.0,2204442,80.89,108744607,148.4,3944510,496.9,7064178,5136.25,1088323,403.5,13173591,452.4,2042333,1145.0,914125,2898.0,4565726,900.0,4965209,4602.0,1034913,604.5,1431876,189.6,23951366,230.6,85923605,1367.0,2175198.0,4675.0,476836
2014-12-08,1244.0,5914102,3226.0,807609,479.8,3668755,3686.5,2998416,1680.0,635367.0,1139.84,2065289.0,2803.0,751038.0,283.6,6532619,1943.5,3157803,1057.0,5481785.0,353.9,3159255,1460.0,5281991,477.7,8760664.0,213.9,13194104.0,1258.67,1162570,80.41,73084257,149.9,6870455,483.5,7649931,5136.25,1465268,400.0,7586472,450.9,1949415,1122.0,632618,2883.0,3701647,892.5,4163534,4574.0,864539,590.0,1192033,187.3,13682609,229.95,40885006,1348.0,5544491.0,4626.0,352123
2014-12-09,1223.0,10199619,3166.0,714953,467.7,9637979,3608.0,2828003,1669.0,1468226.0,1123.2,2067508.0,2719.0,919481.0,279.9,13300287,1918.0,4575856,1040.0,2171959.0,341.5,5699221,1409.0,11352753,458.0,11759905.0,208.5,11329172.0,1227.73,1976958,78.54,191891699,149.1,8383461,476.8,6257180,5082.4902,1192387,388.2,11881209,442.9,2882035,1093.0,1692643,2849.5,6306612,860.5,6861463,4335.0,2584503,591.5,1574961,174.9,140723611,223.6,49437939,1312.0,4402078.0,4519.0,442388
2014-12-10,1207.5,6139607,3201.0,689929,461.0,7159258,3583.0,2342550,1645.0,1531943.0,1118.0,2389904.0,2744.0,900087.0,277.9,13192691,1903.0,2917754,1034.0,2319851.0,335.0,6116336,1386.0,13643869,460.5,8436445.0,209.3,9393991.0,1236.27,1844479,78.6,106187911,150.4,5243360,475.0,4281685,5028.73,1225125,385.8,9093540,443.2,9189202,1088.0,1269827,2797.5,3556673,856.0,10597469,4429.0,2133921,581.5,1801966,175.7,50348831,222.65,46351078,1326.0,2890264.0,4569.0,487877
2014-12-11,1173.0,7219311,3151.0,767508,454.9,6209582,3510.5,3736388,1621.0,1257958.0,1104.48,6183706.0,2789.0,690442.0,274.4,15213667,1877.5,4924194,1028.0,1814136.0,335.7,5313106,1393.0,10442701,462.0,8188711.0,208.3,9177701.0,1222.4,1700588,78.2,130898888,149.1,6680231,477.5,4498328,5033.6201,1207742,382.9,7014744,437.0,4421055,1058.0,1613127,2748.0,5460932,831.5,10183577,4565.0,2770061,573.5,2051159,171.3,39198540,222.95,51703692,1320.0,3049979.0,4605.0,739045
2014-12-12,1136.0,5686792,3070.0,740925,442.3,6262892,3405.0,3438602,1583.0,887076.0,1090.96,4814056.0,2719.0,994139.0,265.4,17903592,1823.5,5287144,1009.0,3318876.0,324.7,3531769,1364.5,14862956,456.8,10202756.0,204.0,9359882.0,1209.6,1736988,76.13,106252375,142.0,9354221,467.7,5468223,4916.3301,2476921,375.6,8953335,428.7,3897814,1024.0,1419184,2682.5,4789136,808.5,8653097,4532.0,2551847,572.0,4211684,165.75,32931504,215.3,102958877,1287.0,4148881.0,4456.0,452949
